OBT:002101	tsetse fly	tsetse fly	-2	7394
OBT:002101	tsetse fly	tsetse fly	-2	7395
OBT:002101	tsetse fly	tsetse fly	-2	7396
OBT:002101	tsetse fly	tsetse fly	-2	7397
OBT:002101	tsetse fly	tsetse fly	-2	7398
OBT:002105	garlic	garlic	-2	4682
OBT:002107	onion	onion	-2	4679
OBT:002112	Euprymna scolopes	Euprymna scolopes	-2	6613
OBT:002116	donkey	donkey	-2	9793
OBT:002127	deer	deer	-2	9850
OBT:002139	laboratory rat	laboratory rat	-2	10116
OBT:002143	Glossina	Glossina	-2	44049
OBT:002143	Glossina	Glossina	-2	7393
OBT:002156	red deer	red deer	-2	9860
OBT:002162	soybean	soybean	-2	3847
OBT:002164	Medicago	Medicago	-2	3877
OBT:002169	mung bean	mung bean	-2	157791
OBT:002169	mung bean	mung bean	-2	3916
OBT:002181	cabbage	cabbage	-2	3716
OBT:002184	fenugreek	fenugreek	-2	78534
OBT:002200	duck	duck	-2	8839
OBT:002208	goose	goose	-2	8847
OBT:002209	turkey	turkey	-2	9103
OBT:002219	Alfalfa	Alfalfa	-2	3879
OBT:002223	swine	swine	-2	9823
OBT:002227	horse	horse	-2	9796
OBT:002229	chicken	chicken	-2	9031
OBT:002257	pig	pig	-2	9823
OBT:002292	goat	goat	-2	9925
OBT:002295	cauliflower	cauliflower	-2	3715
OBT:002300	sheep	sheep	-2	9940
OBT:002302	cattle	cattle	-2	9913
OBT:002304	bovine	bovine	-2	9913
OBT:002312	cow	cow	-2	9913
